date_pollutant_added,date_experiment,replicate_number,part_hidden,treatment,percentile,time_min,copepod_count,proportion
11/04/2021,11/10/2021,2,bottom,control,75-100,30,3,0.03
11/04/2021,11/10/2021,2,bottom,control,50-75,30,2,0.02
11/04/2021,11/10/2021,2,bottom,env_rel,75-100,30,2,0.02
11/04/2021,11/10/2021,2,bottom,env_rel,50-75,30,3,0.03
11/04/2021,11/10/2021,2,bottom,high,75-100,30,1,0.04
11/04/2021,11/10/2021,2,bottom,high,50-75,30,1,0.04
11/05/2021,11/11/2021,3,bottom,control,75-100,0,23,0.23
11/05/2021,11/11/2021,3,bottom,control,50-75,0,15,0.15
11/05/2021,11/11/2021,3,bottom,env_rel,75-100,0,31,0.31
11/05/2021,11/11/2021,3,bottom,env_rel,50-75,0,16,0.16
11/05/2021,11/11/2021,3,bottom,high,75-100,0,5,0.2
11/05/2021,11/11/2021,3,bottom,high,50-75,0,2,0.08
11/05/2021,11/11/2021,3,bottom,control,75-100,5,7,0.07
11/05/2021,11/11/2021,3,bottom,control,50-75,5,6,0.06
11/05/2021,11/11/2021,3,bottom,env_rel,75-100,5,9,0.09
11/05/2021,11/11/2021,3,bottom,env_rel,50-75,5,5,0.05
11/05/2021,11/11/2021,3,bottom,high,75-100,5,3,0.12
11/05/2021,11/11/2021,3,bottom,high,50-75,5,1,0.04
11/05/2021,11/11/2021,3,bottom,control,75-100,10,5,0.05
11/05/2021,11/11/2021,3,bottom,control,50-75,10,3,0.03
11/05/2021,11/11/2021,3,bottom,env_rel,75-100,10,9,0.09
11/05/2021,11/11/2021,3,bottom,env_rel,50-75,10,4,0.04
11/05/2021,11/11/2021,3,bottom,high,75-100,10,6,0.24
11/05/2021,11/11/2021,3,bottom,high,50-75,10,2,0.08
11/05/2021,11/11/2021,3,bottom,control,75-100,15,5,0.05
11/05/2021,11/11/2021,3,bottom,control,50-75,15,3,0.03
11/05/2021,11/11/2021,3,bottom,env_rel,75-100,15,7,0.07
11/05/2021,11/11/2021,3,bottom,env_rel,50-75,15,3,0.03
11/05/2021,11/11/2021,3,bottom,high,75-100,15,7,0.28
11/05/2021,11/11/2021,3,bottom,high,50-75,15,1,0.04
11/05/2021,11/11/2021,3,bottom,control,75-100,20,4,0.04
11/05/2021,11/11/2021,3,bottom,control,50-75,20,1,0.01
11/05/2021,11/11/2021,3,bottom,env_rel,75-100,20,5,0.05
11/05/2021,11/11/2021,3,bottom,env_rel,50-75,20,2,0.02
11/05/2021,11/11/2021,3,bottom,high,75-100,20,5,0.2
11/05/2021,11/11/2021,3,bottom,high,50-75,20,3,0.12
11/05/2021,11/11/2021,3,bottom,control,75-100,25,4,0.04
11/05/2021,11/11/2021,3,bottom,control,50-75,25,2,0.02
11/05/2021,11/11/2021,3,bottom,env_rel,75-100,25,6,0.06
11/05/2021,11/11/2021,3,bottom,env_rel,50-75,25,1,0.01
11/05/2021,11/11/2021,3,bottom,high,75-100,25,4,0.16
11/05/2021,11/11/2021,3,bottom,high,50-75,25,2,0.08
11/05/2021,11/11/2021,3,bottom,control,75-100,30,3,0.03
11/05/2021,11/11/2021,3,bottom,control,50-75,30,1,0.01
11/05/2021,11/11/2021,3,bottom,env_rel,75-100,30,6,0.06
11/05/2021,11/11/2021,3,bottom,env_rel,50-75,30,1,0.01
11/05/2021,11/11/2021,3,bottom,high,75-100,30,2,0.08
11/05/2021,11/11/2021,3,bottom,high,50-75,30,1,0.04
11/06/2021,11/12/2021,4,bottom,control,75-100,0,15,0.15
11/06/2021,11/12/2021,4,bottom,control,50-75,0,10,0.1
11/06/2021,11/12/2021,4,bottom,env_rel,75-100,0,19,0.19
11/06/2021,11/12/2021,4,bottom,env_rel,50-75,0,11,0.11
11/06/2021,11/12/2021,4,bottom,high,75-100,0,8,0.32
11/06/2021,11/12/2021,4,bottom,high,50-75,0,6,0.24
11/06/2021,11/12/2021,4,bottom,control,75-100,5,4,0.04
11/06/2021,11/12/2021,4,bottom,control,50-75,5,2,0.02
11/06/2021,11/12/2021,4,bottom,env_rel,75-100,5,12,0.12
11/06/2021,11/12/2021,4,bottom,env_rel,50-75,5,5,0.05
11/06/2021,11/12/2021,4,bottom,high,75-100,5,6,0.24
11/06/2021,11/12/2021,4,bottom,high,50-75,5,3,0.12
11/06/2021,11/12/2021,4,bottom,control,75-100,10,1,0.01
11/06/2021,11/12/2021,4,bottom,control,50-75,10,3,0.03
11/06/2021,11/12/2021,4,bottom,env_rel,75-100,10,7,0.07
11/06/2021,11/12/2021,4,bottom,env_rel,50-75,10,3,0.03
11/06/2021,11/12/2021,4,bottom,high,75-100,10,3,0.12
11/06/2021,11/12/2021,4,bottom,high,50-75,10,3,0.12
11/06/2021,11/12/2021,4,bottom,control,75-100,15,2,0.02
11/06/2021,11/12/2021,4,bottom,control,50-75,15,1,0.01
11/06/2021,11/12/2021,4,bottom,env_rel,75-100,15,5,0.05
11/06/2021,11/12/2021,4,bottom,env_rel,50-75,15,7,0.07
11/06/2021,11/12/2021,4,bottom,high,75-100,15,3,0.12
11/06/2021,11/12/2021,4,bottom,high,50-75,15,1,0.04
11/06/2021,11/12/2021,4,bottom,control,75-100,20,1,0.01
11/06/2021,11/12/2021,4,bottom,control,50-75,20,1,0.01
11/06/2021,11/12/2021,4,bottom,env_rel,75-100,20,3,0.03
11/06/2021,11/12/2021,4,bottom,env_rel,50-75,20,4,0.04
11/06/2021,11/12/2021,4,bottom,high,75-100,20,1,0.04
11/06/2021,11/12/2021,4,bottom,high,50-75,20,2,0.08
11/06/2021,11/12/2021,4,bottom,control,75-100,25,1,0.01
11/06/2021,11/12/2021,4,bottom,control,50-75,25,2,0.02
11/06/2021,11/12/2021,4,bottom,env_rel,75-100,25,4,0.04
11/06/2021,11/12/2021,4,bottom,env_rel,50-75,25,2,0.02
11/06/2021,11/12/2021,4,bottom,high,75-100,25,1,0.04
11/06/2021,11/12/2021,4,bottom,high,50-75,25,1,0.04
11/06/2021,11/12/2021,4,bottom,control,75-100,30,1,0.01
11/06/2021,11/12/2021,4,bottom,control,50-75,30,2,0.02
11/06/2021,11/12/2021,4,bottom,env_rel,75-100,30,3,0.03
11/06/2021,11/12/2021,4,bottom,env_rel,50-75,30,2,0.02
11/06/2021,11/12/2021,4,bottom,high,75-100,30,1,0.04
11/06/2021,11/12/2021,4,bottom,high,50-75,30,1,0.04
