date_pollutant_added,date_experiment,replicate_number,part_hidden,treatment,percentile,time_min,copepod_count,proportion
11/9/2021,11/9/2021,4,top,high,0-25,0,17,0.17
11/9/2021,11/9/2021,4,top,control,25-50,5,10,0.1
11/9/2021,11/9/2021,4,top,control,0-25,5,19,0.19
11/9/2021,11/9/2021,4,top,env_rel,25-50,5,9,0.09
11/9/2021,11/9/2021,4,top,env_rel,0-25,5,18,0.18
11/9/2021,11/9/2021,4,top,high,25-50,5,7,0.07
11/9/2021,11/9/2021,4,top,high,0-25,5,16,0.16
11/9/2021,11/9/2021,4,top,control,25-50,10,7,0.07
11/9/2021,11/9/2021,4,top,control,0-25,10,13,0.13
11/9/2021,11/9/2021,4,top,env_rel,25-50,10,6,0.06
11/9/2021,11/9/2021,4,top,env_rel,0-25,10,14,0.14
11/9/2021,11/9/2021,4,top,high,25-50,10,3,0.03
11/9/2021,11/9/2021,4,top,high,0-25,10,12,0.12
11/9/2021,11/9/2021,4,top,control,25-50,15,4,0.04
11/9/2021,11/9/2021,4,top,control,0-25,15,12,0.12
11/9/2021,11/9/2021,4,top,env_rel,25-50,15,5,0.05
11/9/2021,11/9/2021,4,top,env_rel,0-25,15,10,0.1
11/9/2021,11/9/2021,4,top,high,25-50,15,3,0.03
11/9/2021,11/9/2021,4,top,high,0-25,15,10,0.1
11/9/2021,11/9/2021,4,top,control,25-50,20,5,0.05
11/9/2021,11/9/2021,4,top,control,0-25,20,15,0.15
11/9/2021,11/9/2021,4,top,env_rel,25-50,20,4,0.04
11/9/2021,11/9/2021,4,top,env_rel,0-25,20,12,0.12
11/9/2021,11/9/2021,4,top,high,25-50,20,4,0.04
11/9/2021,11/9/2021,4,top,high,0-25,20,13,0.13
11/9/2021,11/9/2021,4,top,control,25-50,25,6,0.06
11/9/2021,11/9/2021,4,top,control,0-25,25,12,0.12
11/9/2021,11/9/2021,4,top,env_rel,25-50,25,5,0.05
11/9/2021,11/9/2021,4,top,env_rel,0-25,25,14,0.14
11/9/2021,11/9/2021,4,top,high,25-50,25,3,0.03
11/9/2021,11/9/2021,4,top,high,0-25,25,15,0.15
11/9/2021,11/9/2021,4,top,control,25-50,30,4,0.04
11/9/2021,11/9/2021,4,top,control,0-25,30,11,0.11
11/9/2021,11/9/2021,4,top,env_rel,25-50,30,5,0.05
11/9/2021,11/9/2021,4,top,env_rel,0-25,30,9,0.09
11/9/2021,11/9/2021,4,top,high,25-50,30,4,0.04
11/9/2021,11/9/2021,4,top,high,0-25,30,13,0.13
