date_pollutant_added,date_experiment,replicate_number,part_hidden,treatment,percentile,time_min,copepod_count,proportion
11/9/2021,11/9/2021,4,bottom,env_rel,75-100,25,4,0.04
11/9/2021,11/9/2021,4,bottom,env_rel,50-75,25,1,0.01
11/9/2021,11/9/2021,4,bottom,high,75-100,25,14,0.14
11/9/2021,11/9/2021,4,bottom,high,50-75,25,6,0.06
11/9/2021,11/9/2021,4,bottom,control,75-100,30,1,0.01
11/9/2021,11/9/2021,4,bottom,control,50-75,30,2,0.02
11/9/2021,11/9/2021,4,bottom,env_rel,75-100,30,4,0.04
11/9/2021,11/9/2021,4,bottom,env_rel,50-75,30,2,0.02
11/9/2021,11/9/2021,4,bottom,high,75-100,30,7,0.07
11/9/2021,11/9/2021,4,bottom,high,50-75,30,8,0.08
